"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
29001950100,29,001,950100,80.1,1.8076,3
29001950200,29,001,950200,80.8,1.8406,3
29001950300,29,001,950300,74.2,2.3739,3
29001950400,29,001,950400,80.4,1.4467,3
29001950500,29,001,950500,73.1,2.0872,3
29003010100,29,003,010100,79.7,0.9616,3
29003010200,29,003,010200,77.3,1.2442,3
29003010300,29,003,010300,81.6,2.7966,3
29003010400,29,003,010400,80.1,1.6941,1
29005950100,29,005,950100,76.8,1.206,3
29005950200,29,005,950200,77.1,1.1661,3
29007950100,29,007,950100,76.9,1.0975,3
29007950200,29,007,950200,81.6,1.6761,3
29007950300,29,007,950300,79.3,1.3613,3
29007950400,29,007,950400,73.6,1.1902,3
29007950500,29,007,950500,73.1,1.5044,3
29007950600,29,007,950600,79.7,1.6422,3
29007950700,29,007,950700,75.7,1.1951,3
29009960100,29,009,960100,78.4,1.0698,3
29009960200,29,009,960200,78.5,1.0863,2
29009960300,29,009,960300,74.3,1.0559,3
29009960401,29,009,960401,77.2,1.46,3
29009960402,29,009,960402,76.4,1.3274,3
29009960500,29,009,960500,73.4,1.4786,3
29009960600,29,009,960600,79.2,3.589,3
29011960100,29,011,960100,76.6,1.1848,3
29011960200,29,011,960200,80,1.7115,1
29011960300,29,011,960300,76.2,1.133,3
29013070100,29,013,070100,78.9,1.1934,3
29013070200,29,013,070200,89.2,3.0008,3
29013070300,29,013,070300,69.5,1.1365,3
29013070400,29,013,070400,78,1.9366,3
29015460100,29,015,460100,78.4,1.257,3
29015460200,29,015,460200,74.5,1.1942,3
29015460300,29,015,460300,74.9,1.2356,3
29015460400,29,015,460400,77.6,1.4092,2
29015460700,29,015,460700,75.8,2.2741,3
29015460800,29,015,460800,72.5,1.6564,3
29017950100,29,017,950100,76.4,0.9193,2
29017950200,29,017,950200,68.9,1.019,3
29017950300,29,017,950300,76.4,0.9153,2
29019000200,29,019,000200,77.6,2.1387,2
29019000700,29,019,000700,75.4,1.3718,3
29019001001,29,019,001001,78.4,1.1558,3
29019001002,29,019,001002,75.9,1.3289,3
29019001103,29,019,001103,84,2.4177,3
29019001104,29,019,001104,80.4,1.0758,2
29019001201,29,019,001201,81.6,1.28,3
29019001202,29,019,001202,83.2,1.6185,3
29019001300,29,019,001300,81.3,2.2385,3
29019001400,29,019,001400,78.6,1.3524,3
29019001502,29,019,001502,73.5,1.4013,3
29019001503,29,019,001503,76.3,2.8261,1
29019001504,29,019,001504,77.9,1.5424,3
29019001601,29,019,001601,81.8,2.4159,3
29019001602,29,019,001602,82.8,2.6216,3
29019001701,29,019,001701,81.4,1.4913,3
29019001702,29,019,001702,81.7,1.8017,3
29019001803,29,019,001803,79.5,1.4747,3
29019001805,29,019,001805,81.7,2.093,3
29019001901,29,019,001901,81.4,2.8924,3
29019001902,29,019,001902,80.1,1.3173,3
29019002000,29,019,002000,78.8,1.1933,3
29019002100,29,019,002100,74.8,1.8287,2
29021000100,29,021,000100,80.1,1.1964,3
29021000200,29,021,000200,78.2,1.1277,3
29021000300,29,021,000300,75.1,1.6335,3
29021000400,29,021,000400,71.7,2.1787,3
29021000500,29,021,000500,72.1,1.54,3
29021000600,29,021,000600,81.6,1.9788,3
29021000701,29,021,000701,76.8,1.0866,3
29021000702,29,021,000702,77.7,1.1184,3
29021000900,29,021,000900,75.2,1.6178,3
29021001000,29,021,001000,73.1,1.9033,2
29021001100,29,021,001100,74.2,2.3038,3
29021001200,29,021,001200,61.7,2.2716,3
29021001500,29,021,001500,76.2,2.0135,3
29021001600,29,021,001600,75.8,1.2877,2
29021001700,29,021,001700,75.1,1.0765,3
29021001800,29,021,001800,73.8,1.5342,3
29021002100,29,021,002100,75.7,2.2488,3
29021002200,29,021,002200,80.1,2.6864,3
29021002300,29,021,002300,75.8,1.4275,3
29021002400,29,021,002400,76,2.1241,3
29021002500,29,021,002500,72.5,1.4022,3
29021002700,29,021,002700,80.9,1.7976,3
29021002800,29,021,002800,78.2,2.0878,3
29021002900,29,021,002900,74.9,1.2262,3
29021003000,29,021,003000,70.6,1.514,1
29023950100,29,023,950100,69.7,1.1111,3
29023950201,29,023,950201,73.7,1.2688,1
29023950202,29,023,950202,75.6,1.1916,3
29023950300,29,023,950300,69.6,1.1303,1
29023950400,29,023,950400,70.5,1.2322,3
29023950500,29,023,950500,68.7,2.2321,3
29023950600,29,023,950600,77,1.5576,3
29023950700,29,023,950700,71.2,1.5022,3
29023950800,29,023,950800,70.6,1.759,3
29023950900,29,023,950900,79,2.4745,3
29025950100,29,025,950100,72.9,1.7254,3
29025950200,29,025,950200,78.3,0.9932,3
29027070100,29,027,070100,79.3,2.5861,3
29027070200,29,027,070200,76.2,2.1813,3
29027070300,29,027,070300,75,1.6535,1
29027070400,29,027,070400,76,1.2828,3
29027070500,29,027,070500,79.6,1.8813,3
29027070600,29,027,070600,77.6,1.2776,2
29027070700,29,027,070700,76.9,1.372,1
29027070800,29,027,070800,80.1,2.2934,3
29029950100,29,029,950100,83.9,3.1248,3
29029950200,29,029,950200,74.8,0.9697,3
29029950300,29,029,950300,82.8,3.9272,3
29029950400,29,029,950400,77.5,1.3057,3
29029950500,29,029,950500,77.4,1.1053,2
29029950600,29,029,950600,80.7,1.7758,3
29029950700,29,029,950700,78.9,3.043,3
29029950800,29,029,950800,81.3,2.4211,1
29029950900,29,029,950900,77.6,2.5918,3
29029951100,29,029,951100,78.4,1.0548,2
29029951200,29,029,951200,81.3,2.4824,3
29031880100,29,031,880100,79.8,1.9327,3
29031880200,29,031,880200,78.5,1.4627,3
29031880300,29,031,880300,80.4,1.9642,3
29031880400,29,031,880400,77.2,1.0578,1
29031880500,29,031,880500,80.2,1.2503,3
29031880600,29,031,880600,78.4,1.0638,3
29031880800,29,031,880800,75.7,1.2774,2
29031880900,29,031,880900,74.6,1.5122,2
29031881100,29,031,881100,80.9,2.0957,3
29031881200,29,031,881200,82.4,1.7374,3
29031881300,29,031,881300,76,1.055,3
29031881400,29,031,881400,71.1,2.5701,3
29031881500,29,031,881500,76.9,0.9722,3
29031881600,29,031,881600,73,1.8543,3
29033960100,29,033,960100,78,1.6261,3
29033960200,29,033,960200,78.8,1.1516,3
29033960300,29,033,960300,75.3,1.1555,3
29035960100,29,035,960100,74.8,1.0104,2
29035960200,29,035,960200,77.1,2.3588,3
29037060001,29,037,060001,83.9,3.2331,3
29037060003,29,037,060003,78.3,1.3567,2
29037060004,29,037,060004,74.5,1.2854,3
29037060202,29,037,060202,76,1.1646,3
29037060301,29,037,060301,80.6,1.0245,3
29037060302,29,037,060302,78.3,1.2058,1
29037060305,29,037,060305,82.1,1.8132,3
29037060400,29,037,060400,82.8,1.21,3
29037060500,29,037,060500,78.5,2.6863,3
29037060600,29,037,060600,75.9,1.0575,3
29037060700,29,037,060700,77.6,1.71,3
29037060800,29,037,060800,79.9,1.4471,3
29037060904,29,037,060904,73.6,1.3702,3
29037061001,29,037,061001,80,1.4549,3
29037061002,29,037,061002,79.7,1.7734,3
29037061100,29,037,061100,77.8,1.1911,3
29037061200,29,037,061200,75.2,1.3086,3
29037061300,29,037,061300,73,1.6235,3
29037061400,29,037,061400,74.7,1.4252,3
29039870100,29,039,870100,78.2,1.304,1
29039870200,29,039,870200,71.1,1.4655,3
29039870300,29,039,870300,75.4,1.9421,3
29041470100,29,041,470100,80.5,2.9168,3
29041470200,29,041,470200,76.8,1.5506,3
29041470300,29,041,470300,78.9,1.5987,3
29043020101,29,043,020101,79.3,1.2134,3
29043020102,29,043,020102,79.5,1.4316,3
29043020201,29,043,020201,81.4,2.1862,3
29043020202,29,043,020202,80.2,1.6981,1
29043020203,29,043,020203,76.5,1.2195,3
29043020204,29,043,020204,80.3,2.0791,3
29043020205,29,043,020205,79.6,1.7297,3
29043020302,29,043,020302,78.8,1.4669,3
29043020303,29,043,020303,79.1,1.601,3
29043020304,29,043,020304,73.7,1.4022,3
29043020305,29,043,020305,78.1,0.9541,3
29043020306,29,043,020306,82.9,1.9318,3
29043020400,29,043,020400,77.2,1.1086,3
29043020500,29,043,020500,81,1.7292,3
29045950100,29,045,950100,82.5,2.2981,3
29045950200,29,045,950200,76.4,0.951,2
29045950300,29,045,950300,71.7,1.2916,3
29047020201,29,047,020201,78.3,2.5151,1
29047020202,29,047,020202,81,1.3224,3
29047020300,29,047,020300,77.5,1.0844,2
29047020400,29,047,020400,76.4,1.3338,2
29047020500,29,047,020500,74.8,0.8416,2
29047020602,29,047,020602,76.4,2.0817,3
29047020603,29,047,020603,74.3,1.7554,3
29047020604,29,047,020604,76.9,1.9591,1
29047020801,29,047,020801,77.6,1.1514,3
29047020901,29,047,020901,78.3,1.1325,3
29047020902,29,047,020902,73.6,1.8548,3
29047021001,29,047,021001,77.4,1.3126,3
29047021003,29,047,021003,80,1.5588,3
29047021004,29,047,021004,79.7,2.2723,3
29047021101,29,047,021101,75.8,1.433,3
29047021102,29,047,021102,79.1,1.3075,1
29047021103,29,047,021103,82.2,1.6117,3
29047021204,29,047,021204,77.5,1.6878,2
29047021205,29,047,021205,79.2,1.5338,3
29047021206,29,047,021206,80.9,1.2084,3
29047021207,29,047,021207,75.9,2.2557,3
29047021208,29,047,021208,81.7,2.4014,3
29047021305,29,047,021305,78.2,1.1473,3
29047021306,29,047,021306,81.5,1.9246,3
29047021307,29,047,021307,80.6,2.0774,2
29047021309,29,047,021309,83.3,3.7711,3
29047021401,29,047,021401,82.2,1.7781,3
29047021403,29,047,021403,77.4,1.7609,3
29047021404,29,047,021404,78.6,1.1437,3
29047021600,29,047,021600,80.9,1.9071,3
29047021701,29,047,021701,76.3,2.6653,2
29047021702,29,047,021702,76,1.6896,3
29047021803,29,047,021803,80.6,2.7096,3
29047021804,29,047,021804,80.5,2.2218,3
29047021805,29,047,021805,81.1,1.7889,3
29047021806,29,047,021806,79.4,1.8184,3
29047021900,29,047,021900,80.4,2.0157,3
29047022000,29,047,022000,77,1.5232,3
29047022100,29,047,022100,73.1,1.6157,3
29047022200,29,047,022200,75.5,1.4078,3
29047022301,29,047,022301,77.9,1.8221,2
29047022302,29,047,022302,78.5,1.1313,3
29049960100,29,049,960100,73.2,1.1698,3
29049960200,29,049,960200,76.2,0.8887,3
29049960300,29,049,960300,77,1.3322,3
29049960400,29,049,960400,80.6,1.5124,3
29051010300,29,051,010300,76.2,2.0711,3
29051010400,29,051,010400,78.3,0.9466,3
29051010500,29,051,010500,74.8,1.2274,2
29051010600,29,051,010600,70.7,1.4208,3
29051010701,29,051,010701,81,1.3015,3
29051010702,29,051,010702,77.7,1.2485,1
29051010800,29,051,010800,81.7,1.4401,3
29051010900,29,051,010900,79.1,1.044,1
29051020198,29,051,020198,78.8,1.3332,3
29051020200,29,051,020200,81.8,1.767,3
29051020300,29,051,020300,75.7,1.2071,3
29051020400,29,051,020400,76.3,1.6448,3
29051020500,29,051,020500,83.1,2.7216,3
29051020600,29,051,020600,78.8,1.229,3
29051020700,29,051,020700,70,2.3417,3
29053950100,29,053,950100,76.2,1.601,1
29053950200,29,053,950200,76.9,2.4853,3
29053950300,29,053,950300,76.5,1.4212,3
29053950400,29,053,950400,77.2,1.3147,3
29053950500,29,053,950500,77.3,1.1,3
29055450101,29,055,450101,75.5,3.0666,3
29055450102,29,055,450102,75.3,1.0596,3
29055450200,29,055,450200,77.8,1.4071,3
29055450302,29,055,450302,71.5,1.1741,3
29055450400,29,055,450400,75.7,1.7064,1
29057480100,29,057,480100,76.7,1.1278,3
29057480200,29,057,480200,77.8,1.252,3
29059480100,29,059,480100,78.1,1.2812,3
29059480200,29,059,480200,75.4,1.2368,3
29059480300,29,059,480300,77.9,1.4607,1
29061470100,29,061,470100,76.4,0.694,2
29061470200,29,061,470200,75.6,1.025,3
29063080100,29,063,080100,77.5,1.2163,3
29063080200,29,063,080200,80.8,1.6296,3
29065960100,29,065,960100,75.9,2.0121,3
29065960200,29,065,960200,77.6,1.1469,3
29065960300,29,065,960300,70.4,3.3303,3
29065960400,29,065,960400,77.7,2.351,3
29067950100,29,067,950100,74.8,0.8672,2
29067950200,29,067,950200,74.8,0.8773,2
29067950500,29,067,950500,74.8,0.889,2
29069360100,29,069,360100,72.7,2.8044,3
29069360200,29,069,360200,72.9,1.4465,3
29069360300,29,069,360300,74.8,0.8878,2
29069360400,29,069,360400,77,1.3093,3
29069360500,29,069,360500,72.8,1.8899,3
29069360600,29,069,360600,71.4,1.2355,3
29069360700,29,069,360700,70.5,1.327,3
29069360800,29,069,360800,73.3,1.8402,3
29069360900,29,069,360900,75.3,1.7978,3
29069361000,29,069,361000,71.1,1.734,3
29071800100,29,071,800100,78.9,1.6637,3
29071800201,29,071,800201,79.2,1.3379,3
29071800202,29,071,800202,79.4,1.1421,2
29071800300,29,071,800300,76.8,1.0242,3
29071800401,29,071,800401,77.9,0.9847,3
29071800402,29,071,800402,77.8,1.2749,3
29071800500,29,071,800500,77.7,1.0504,3
29071800601,29,071,800601,75.1,1.1982,1
29071800602,29,071,800602,77.4,1.361,1
29071800701,29,071,800701,73.8,1.2672,1
29071800702,29,071,800702,80.5,2.7524,3
29071800800,29,071,800800,73.7,1.2088,3
29071800901,29,071,800901,77.8,1.6737,3
29071800902,29,071,800902,73.5,1.534,3
29071801000,29,071,801000,80.5,2.8422,3
29071801101,29,071,801101,74.3,1.6364,3
29071801102,29,071,801102,76.3,1.2024,1
29073960100,29,073,960100,76.5,1.5178,3
29073960300,29,073,960300,78.6,1.6558,3
29073960400,29,073,960400,78.1,1.5289,3
29073960500,29,073,960500,73.9,1.2634,3
29075960100,29,075,960100,77.6,0.5803,2
29075960200,29,075,960200,79.1,1.1467,3
29077000400,29,077,000400,75,1.825,3
29077000501,29,077,000501,67.6,2.1326,3
29077000502,29,077,000502,69.8,1.6271,3
29077000600,29,077,000600,68.5,1.9982,3
29077000800,29,077,000800,72.8,1.2753,2
29077000900,29,077,000900,79.8,1.6262,2
29077001000,29,077,001000,81.2,2.0115,3
29077001100,29,077,001100,75.8,0.8815,2
29077001200,29,077,001200,77.9,1.7713,3
29077001301,29,077,001301,79.7,1.8643,3
29077001302,29,077,001302,70.8,2.6139,3
29077001400,29,077,001400,75.1,2.1426,3
29077001500,29,077,001500,74.6,1.1231,2
29077001700,29,077,001700,72.8,0.9816,2
29077001800,29,077,001800,71.4,1.4953,3
29077001900,29,077,001900,71.7,1.6126,3
29077002200,29,077,002200,74.4,1.1611,2
29077002300,29,077,002300,75.7,1.7167,3
29077002402,29,077,002402,78,1.7429,3
29077002502,29,077,002502,80,1.7287,3
29077002600,29,077,002600,79.8,0.7911,2
29077002700,29,077,002700,78.9,2.3178,3
29077002800,29,077,002800,77.9,1.8139,3
29077002900,29,077,002900,80.7,1.7098,1
29077003002,29,077,003002,77,1.5484,3
29077003100,29,077,003100,65.1,1.5138,1
29077003200,29,077,003200,72.8,1.5022,2
29077003300,29,077,003300,71.6,1.522,3
29077003600,29,077,003600,73,1.5274,3
29077003700,29,077,003700,87.4,2.4085,3
29077003800,29,077,003800,81.4,1.0871,3
29077003900,29,077,003900,81.5,2.1519,3
29077004001,29,077,004001,78.9,0.7581,2
29077004002,29,077,004002,78,1.4751,3
29077004003,29,077,004003,82.1,2.053,3
29077004101,29,077,004101,81.7,1.9579,1
29077004102,29,077,004102,80.2,1.4795,3
29077004103,29,077,004103,80.5,1.3936,3
29077004201,29,077,004201,82.3,1.8951,3
29077004202,29,077,004202,85.6,3.9137,3
29077004301,29,077,004301,79.6,1.6244,3
29077004302,29,077,004302,74.5,1.6687,3
29077004400,29,077,004400,77.7,1.1137,3
29077004500,29,077,004500,80.4,2.7118,3
29077004600,29,077,004600,78.2,1.5233,3
29077004700,29,077,004700,78,0.9394,3
29077004801,29,077,004801,80.2,2.2539,3
29077004802,29,077,004802,77.9,1.1943,1
29077004803,29,077,004803,73.8,1.0689,3
29077004900,29,077,004900,80.9,1.6855,3
29077005001,29,077,005001,79.5,1.57,3
29077005002,29,077,005002,79.3,1.7671,1
29077005100,29,077,005100,77.9,1.6109,3
29077005200,29,077,005200,78.5,1.2057,3
29077005500,29,077,005500,71.6,1.5426,3
29077005600,29,077,005600,76.9,1.5148,3
29077005700,29,077,005700,81,2.4343,3
29077005800,29,077,005800,74.4,2.0721,2
29079960100,29,079,960100,81.9,2.2235,3
29079960200,29,079,960200,81.2,2.7205,3
29079960300,29,079,960300,77.8,2.4613,3
29079960400,29,079,960400,71.8,1.3482,3
29081950100,29,081,950100,78.1,1.3341,3
29081950200,29,081,950200,79.9,1.5793,3
29081950300,29,081,950300,73.4,2.1101,3
29083950100,29,083,950100,74.4,1.4019,3
29083950200,29,083,950200,77.8,1.5181,3
29083950300,29,083,950300,75.5,1.3829,3
29083950400,29,083,950400,76,1.4545,3
29083950500,29,083,950500,71.2,1.3079,3
29083950600,29,083,950600,74.8,0.8334,2
29085470100,29,085,470100,79.8,1.8157,3
29085470300,29,085,470300,81.1,2.7529,3
29085470500,29,085,470500,85.7,2.3442,3
29087960100,29,087,960100,74.3,1.9461,3
29087960200,29,087,960200,77.8,1.6946,3
29087960300,29,087,960300,78.3,1.355,3
29089960100,29,089,960100,79.1,1.1671,3
29089960200,29,089,960200,78.5,1.2409,3
29089960300,29,089,960300,77.9,1.4994,3
29091090100,29,091,090100,75.8,1.3405,1
29091090200,29,091,090200,71.6,1.3217,3
29091090300,29,091,090300,79.7,2.0004,3
29091090400,29,091,090400,74.8,2.5195,2
29091090500,29,091,090500,79.4,1.538,3
29091090600,29,091,090600,78.4,1.7925,3
29091090700,29,091,090700,72.5,1.7347,1
29091090800,29,091,090800,72.9,0.94,3
29093950100,29,093,950100,79.7,2.5723,3
29093950300,29,093,950300,75,1.5987,3
29093950400,29,093,950400,71.5,1.5819,3
29095000300,29,095,000300,80.4,3.9886,3
29095000600,29,095,000600,70.8,1.5489,3
29095000700,29,095,000700,72.2,1.6982,1
29095000800,29,095,000800,74.5,1.5951,1
29095000900,29,095,000900,73.7,2.4501,1
29095001000,29,095,001000,75.6,2.6895,3
29095001800,29,095,001800,75,1.4483,2
29095001900,29,095,001900,67.5,3.8529,3
29095002000,29,095,002000,71.8,1.8405,3
29095002100,29,095,002100,71.7,2.3396,3
29095002200,29,095,002200,70.9,1.9236,3
29095002300,29,095,002300,72.1,3.0646,3
29095003400,29,095,003400,75,2.3534,2
29095003700,29,095,003700,64.9,2.6572,3
29095003800,29,095,003800,72.4,1.0335,2
29095004300,29,095,004300,75.1,2.8635,3
29095004400,29,095,004400,84.6,3.1069,3
29095004600,29,095,004600,74.6,1.8701,3
29095005100,29,095,005100,80.7,1.6589,2
29095005200,29,095,005200,72.1,1.7634,2
29095005300,29,095,005300,75.1,2.22,2
29095005601,29,095,005601,69.8,2.2017,3
29095005602,29,095,005602,69.2,2.378,3
29095005700,29,095,005700,71.2,1.9331,3
29095005801,29,095,005801,67.3,1.9719,3
29095006000,29,095,006000,71.3,3.0266,3
29095006100,29,095,006100,70.8,2.0016,3
29095006600,29,095,006600,83.5,2.9659,3
29095007100,29,095,007100,77.9,1.7302,3
29095007200,29,095,007200,80.2,1.4115,3
29095007300,29,095,007300,82.5,3.4553,3
29095007400,29,095,007400,80.5,1.1799,2
29095007600,29,095,007600,64.2,3.3583,1
29095007700,29,095,007700,66.3,1.9749,3
29095007802,29,095,007802,72.1,2.1355,3
29095007900,29,095,007900,72.4,1.5129,3
29095008000,29,095,008000,71.2,1.7417,1
29095008100,29,095,008100,69.3,2.1296,1
29095008200,29,095,008200,80.5,1.752,3
29095008300,29,095,008300,81.5,1.3348,3
29095008400,29,095,008400,81.6,1.9613,3
29095008500,29,095,008500,85.8,2.249,3
29095008600,29,095,008600,80.5,2.0457,3
29095008700,29,095,008700,72.3,2.046,3
29095008800,29,095,008800,71.4,1.5658,1
29095008900,29,095,008900,73.5,2.3909,3
29095009000,29,095,009000,72.4,1.4578,3
29095009100,29,095,009100,78.4,1.1774,3
29095009200,29,095,009200,82.6,2.2119,3
29095009300,29,095,009300,75.6,2.048,3
29095009400,29,095,009400,76.3,1.0909,2
29095009500,29,095,009500,70.4,2.2115,3
29095009600,29,095,009600,72.3,1.4183,2
29095009800,29,095,009800,77.7,1.6976,3
29095009900,29,095,009900,78.8,2.5797,3
29095010001,29,095,010001,74.6,2.445,3
29095010002,29,095,010002,77.9,2.1863,3
29095010103,29,095,010103,77.1,1.883,3
29095010105,29,095,010105,79.6,1.4449,3
29095010201,29,095,010201,74.6,2.8733,3
29095010203,29,095,010203,79,1.4878,1
29095010204,29,095,010204,76.5,1.1982,2
29095010500,29,095,010500,75.9,0.8814,2
29095010600,29,095,010600,76.3,2.0596,3
29095010702,29,095,010702,74.2,1.7148,3
29095011000,29,095,011000,70,1.2895,3
29095011100,29,095,011100,75.1,1.8252,3
29095011200,29,095,011200,77.7,1.8473,3
29095011300,29,095,011300,77,1.109,3
29095011401,29,095,011401,76.1,1.0328,3
29095011405,29,095,011405,74.9,1.7783,3
29095011406,29,095,011406,76.4,1.6769,3
29095011500,29,095,011500,71.3,1.2055,3
29095011600,29,095,011600,73.3,1.1141,3
29095011700,29,095,011700,72.3,2.0326,3
29095011800,29,095,011800,70.4,1.311,3
29095011900,29,095,011900,71.7,2.5897,3
29095012100,29,095,012100,75.9,1.5357,3
29095012300,29,095,012300,75.5,1.5129,3
29095012400,29,095,012400,75.2,0.7467,2
29095012501,29,095,012501,70,1.3332,3
29095012502,29,095,012502,74.6,1.289,3
29095012600,29,095,012600,73.1,1.659,3
29095012701,29,095,012701,74.7,1.4352,3
29095012802,29,095,012802,80.5,2.2835,1
29095012803,29,095,012803,74.1,2.0957,3
29095012804,29,095,012804,77.6,1.1319,3
29095012903,29,095,012903,76.5,1.1851,3
29095012904,29,095,012904,76.3,1.5195,3
29095012906,29,095,012906,76,1.489,3
29095013003,29,095,013003,75,1.3905,1
29095013100,29,095,013100,73.6,1.2726,2
29095013203,29,095,013203,70.5,1.3753,3
29095013208,29,095,013208,72.2,2.3576,1
29095013210,29,095,013210,74.1,2.8873,3
29095013301,29,095,013301,76.4,1.3668,3
29095013309,29,095,013309,74.5,1.286,3
29095013313,29,095,013313,77.2,1.7418,3
29095013401,29,095,013401,73.3,1.8094,3
29095013405,29,095,013405,80,2.145,3
29095013407,29,095,013407,74.8,1.7978,3
29095013408,29,095,013408,79,1.7861,3
29095013410,29,095,013410,75.2,2.4538,1
29095013416,29,095,013416,76.8,3.2741,3
29095013502,29,095,013502,79.8,1.452,3
29095013504,29,095,013504,81.1,2.2057,2
29095013606,29,095,013606,83.6,3.0359,3
29095013608,29,095,013608,78.6,0.9664,3
29095013612,29,095,013612,82.5,2.3092,3
29095013703,29,095,013703,77,1.7541,3
29095013704,29,095,013704,77.4,1.1405,3
29095013801,29,095,013801,79.6,1.8329,3
29095013802,29,095,013802,83.1,2.1172,3
29095013901,29,095,013901,82.2,1.5085,3
29095013902,29,095,013902,79.3,3.2817,3
29095013904,29,095,013904,79.2,1.5582,3
29095013916,29,095,013916,80.6,1.6981,2
29095014002,29,095,014002,77.6,2.014,3
29095014004,29,095,014004,75.4,1.5678,3
29095014005,29,095,014005,76.1,1.268,3
29095014006,29,095,014006,80.4,2.051,3
29095014007,29,095,014007,80.2,2.952,3
29095014101,29,095,014101,75.7,1.0472,3
29095014105,29,095,014105,75.7,1.4663,3
29095014108,29,095,014108,76.3,1.3391,3
29095014111,29,095,014111,80.5,2.7125,3
29095014112,29,095,014112,79.8,1.8335,2
29095014114,29,095,014114,79.5,1.318,3
29095014203,29,095,014203,82.2,3.6267,3
29095014204,29,095,014204,80.7,1.1228,3
29095014300,29,095,014300,75.1,1.4409,3
29095014400,29,095,014400,79.6,1.8524,3
29095014501,29,095,014501,79.9,1.5082,3
29095014502,29,095,014502,76.8,1.5151,3
29095014601,29,095,014601,80.7,1.9105,3
29095014603,29,095,014603,78.5,1.728,3
29095014604,29,095,014604,78.1,2.0404,1
29095014701,29,095,014701,77.5,1.7617,3
29095014702,29,095,014702,80.4,1.2129,3
29095014804,29,095,014804,84.3,2.4683,3
29095014806,29,095,014806,80.5,1.3881,2
29095014902,29,095,014902,70.2,2.7395,3
29095014903,29,095,014903,80.3,1.5818,3
29095014904,29,095,014904,84.8,3.113,3
29095014905,29,095,014905,81,1.2414,3
29095015000,29,095,015000,78.1,1.4082,3
29095015100,29,095,015100,75.3,0.9531,3
29095015300,29,095,015300,75.9,1.1338,2
29095015400,29,095,015400,73.1,1.7004,2
29095015500,29,095,015500,65.7,2.0645,3
29095015600,29,095,015600,67.3,2.5565,3
29095016000,29,095,016000,68.9,2.4614,3
29095016100,29,095,016100,72.1,1.4156,2
29095016200,29,095,016200,69.3,2.7922,3
29095016300,29,095,016300,66.6,2.0399,3
29095016400,29,095,016400,74.7,1.5489,2
29095016500,29,095,016500,65.7,2.6568,3
29095016600,29,095,016600,70.9,2.3815,3
29095016700,29,095,016700,77.8,3.9441,3
29095016800,29,095,016800,74.7,1.5608,3
29095016900,29,095,016900,67.5,2.2501,3
29095017000,29,095,017000,74.7,1.8766,3
29095017100,29,095,017100,70.6,2.499,3
29095017200,29,095,017200,72.1,2.4359,3
29095017300,29,095,017300,79.1,2.1623,3
29095017400,29,095,017400,73.6,1.394,2
29095017500,29,095,017500,72.9,1.9845,3
29095017600,29,095,017600,82.3,1.8311,3
29095017700,29,095,017700,77.3,1.6658,3
29095017800,29,095,017800,74.5,3.0525,3
29095017900,29,095,017900,82,2.2641,3
29095018000,29,095,018000,76.9,1.7546,3
29095018100,29,095,018100,80.6,1.6478,3
29095018500,29,095,018500,79.2,1.8589,3
29095018600,29,095,018600,80.5,1.6808,2
29095019300,29,095,019300,77.9,1.019,3
29097010100,29,097,010100,70.9,1.6124,3
29097010200,29,097,010200,77.9,1.1868,3
29097010300,29,097,010300,74.4,0.9194,2
29097010400,29,097,010400,72.7,1.1483,3
29097010500,29,097,010500,78,1.8989,3
29097010600,29,097,010600,72.5,1.7706,3
29097010700,29,097,010700,76,1.738,3
29097010800,29,097,010800,73.2,1.094,2
29097010900,29,097,010900,77.4,1.3918,3
29097011000,29,097,011000,68.9,1.3869,3
29097011100,29,097,011100,78.5,1.9464,3
29097011200,29,097,011200,74.5,1.171,3
29097011300,29,097,011300,80.6,1.4904,3
29097011400,29,097,011400,75.8,1.7551,1
29097011500,29,097,011500,76.5,0.8631,3
29097011600,29,097,011600,72.8,1.1586,3
